city,land_use,price_per_m2_sell,cost_per_m2_build,soft_cost_pct,avg_unit_size_m2,sales_months,build_months,discount_rate_annual
Bogotá,Residencial,9500000,3600000,0.13,60,16,18,0.18
Bogotá,Mixto,10450000,3960000,0.14,65,18,20,0.18
Bogotá,Comercial,11400000,4140000,0.16,95,22,22,0.18
Bogotá,Oficinas,10450000,4032000,0.15,80,20,22,0.18
Medellín,Residencial,8500000,3300000,0.13,60,16,18,0.17
Medellín,Mixto,9350000,3630000,0.14,65,18,20,0.17
Medellín,Comercial,10200000,3795000,0.16,95,22,22,0.17
Medellín,Oficinas,9350000,3696000,0.15,80,20,22,0.17
Cali,Residencial,6500000,3000000,0.13,60,16,18,0.17
Cali,Mixto,7150000,3300000,0.14,65,18,20,0.17
Cali,Comercial,7800000,3450000,0.16,95,22,22,0.17
Cali,Oficinas,7150000,3360000,0.15,80,20,22,0.17
Cartagena,Residencial,7800000,3400000,0.13,60,16,18,0.18
Cartagena,Mixto,8580000,3740000,0.14,65,18,20,0.18
Cartagena,Comercial,9360000,3910000,0.16,95,22,22,0.18
Cartagena,Oficinas,8580000,3808000,0.15,80,20,22,0.18
Barranquilla,Residencial,7000000,3100000,0.13,60,16,18,0.17
Barranquilla,Mixto,7700000,3410000,0.14,65,18,20,0.17
Barranquilla,Comercial,8400000,3565000,0.16,95,22,22,0.17
Barranquilla,Oficinas,7700000,3472000,0.15,80,20,22,0.17
Bucaramanga,Residencial,6200000,2900000,0.13,60,16,18,0.17
Bucaramanga,Mixto,6820000,3190000,0.14,65,18,20,0.17
Bucaramanga,Comercial,7440000,3335000,0.16,95,22,22,0.17
Bucaramanga,Oficinas,6820000,3248000,0.15,80,20,22,0.17
Pereira,Residencial,5800000,2800000,0.13,60,16,18,0.17
Pereira,Mixto,6380000,3080000,0.14,65,18,20,0.17
Pereira,Comercial,6960000,3220000,0.16,95,22,22,0.17
Pereira,Oficinas,6380000,3136000,0.15,80,20,22,0.17
Manizales,Residencial,5500000,2750000,0.13,60,16,18,0.16
Manizales,Mixto,6050000,3025000,0.14,65,18,20,0.16
Manizales,Comercial,6600000,3162500,0.16,95,22,22,0.16
Manizales,Oficinas,6050000,3080000,0.15,80,20,22,0.16
Ibagué,Residencial,4800000,2500000,0.13,60,16,18,0.16
Ibagué,Mixto,5280000,2750000,0.14,65,18,20,0.16
Ibagué,Comercial,5760000,2875000,0.16,95,22,22,0.16
Ibagué,Oficinas,5280000,2800000,0.15,80,20,22,0.16
Santa Marta,Residencial,6800000,3100000,0.13,60,16,18,0.17
Santa Marta,Mixto,7480000,3410000,0.14,65,18,20,0.17
Santa Marta,Comercial,8160000,3565000,0.16,95,22,22,0.17
Santa Marta,Oficinas,7480000,3472000,0.15,80,20,22,0.17
Cúcuta,Residencial,4300000,2400000,0.13,60,16,18,0.16
Cúcuta,Mixto,4730000,2640000,0.14,65,18,20,0.16
Cúcuta,Comercial,5160000,2760000,0.16,95,22,22,0.16
Cúcuta,Oficinas,4730000,2688000,0.15,80,20,22,0.16
Villavicencio,Residencial,4600000,2450000,0.13,60,16,18,0.16
Villavicencio,Mixto,5060000,2695000,0.14,65,18,20,0.16
Villavicencio,Comercial,5520000,2817500,0.16,95,22,22,0.16
Villavicencio,Oficinas,5060000,2744000,0.15,80,20,22,0.16
Pasto,Residencial,4500000,2400000,0.13,60,16,18,0.16
Pasto,Mixto,4950000,2640000,0.14,65,18,20,0.16
Pasto,Comercial,5400000,2760000,0.16,95,22,22,0.16
Pasto,Oficinas,4950000,2688000,0.15,80,20,22,0.16
Montería,Residencial,4700000,2500000,0.13,60,16,18,0.16
Montería,Mixto,5170000,2750000,0.14,65,18,20,0.16
Montería,Comercial,5640000,2875000,0.16,95,22,22,0.16
Montería,Oficinas,5170000,2800000,0.15,80,20,22,0.16
Valledupar,Residencial,4400000,2400000,0.13,60,16,18,0.16
Valledupar,Mixto,4840000,2640000,0.14,65,18,20,0.16
Valledupar,Comercial,5280000,2760000,0.16,95,22,22,0.16
Valledupar,Oficinas,4840000,2688000,0.15,80,20,22,0.16
Armenia,Residencial,5200000,2650000,0.13,60,16,18,0.16
Armenia,Mixto,5720000,2915000,0.14,65,18,20,0.16
Armenia,Comercial,6240000,3047500,0.16,95,22,22,0.16
Armenia,Oficinas,5720000,2968000,0.15,80,20,22,0.16
Neiva,Residencial,4500000,2450000,0.13,60,16,18,0.16
